"",,,,Tanktables,,,1 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB1,,,
"",,,,,,,
"",,,,,,,
320,255413,256214,257015,257816 258617 259418 260219,,261019,261820 262621
330,263422,264223,265024,265825 266626 267427 268228,,269029,269830 270631
340,271432,272233,273034,273835 274636 275437 276238,,277038,277839 278640
350,279440,280241,281041,281842 282643 283443 284244,,285044,285845 286645
360,287446,288247,289047,289848 290648 291449 292250,,293050,293851 294651
370,295452,296252,297053,297854 298654 299455 300255,,301056,301856 302657
380,303458,304258,305059,305859 306660 307461 308261,,309062,309862 310661
390,311458,312255,313052,313849 314646 315443 316240,,317037,317834 318631
400,319428,320225,321022,321819 322616 323413 324210,,325007,325804 326601
410,327398,328195,328993,329790 330587 331385 332182,,332980,333777 334574
420,335372,336169,336966,337764 338561 339358 340156,,340953,341751 342548
430,343343,344135,344927,345719 346510 347302 348094,,348886,349678 350470
440,351262,352054,352846,353637 354419 355171 355925,,356678,357402 358070
"",,,,Tanktables,,,8 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE SB2,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
450,358739,359407,360002,360593 361184 361707 362227,,362742,363177 363612
"",,,,,,,
460,363967,364311,364615,364839 364963,,,
4  7  0,,,,,,,
480,,,,,,,
"",,,,,,,
490,,,,,,,
"",,,,,,,
500,,,,,,,
5  1  0,,,,,,,
520,,,,,,,
530,,,,,,,
540,,,,,,,
550,,,,,,,
560,,,,,,,
570,,,,,,,
580,,,,,,,
590,,,,,,,
600,,,,,,,
610,,,,,,,
620,,,,,,,
630,,,,,,,
640,,,,,,,
650,,,,,,,
660,,,,,,,
670,,,,,,,
680,,,,,,,
690,,,,,,,
700,,,,,,,
710,,,,,,,
720,,,,,,,
730,,,,,,,
740,,,,,,,
750,,,,,,,
760,,,,,,,
770,,,,,,,
780,,,,,,,
790,,,,,,,
800,,,,,,,
810,,,,,,,
820,,,,,,,
830,,,,,,,
840,,,,,,,
850,,,,,,,
860,,,,,,,
870,,,,,,,
880,,,,,,,
890,,,,,,,
"",,,,Tanktables,,,9 / 24
"",,,,,,,
"",,,,M.t.s. Texas,,,
"",,,,,,,
"",,,,,,,
"",,,,,,,Europanr.: 7647
"",,,,,,,
"",,,,TANK TABLE BB3,,,
"",,,,,,,
"",,,,,,,
"",0,1,2,3 4 5 6,,7,8 9
"",,,,,,,
0,1036,1420,1862,2370 2944 3575 4263,,5016,5801 6586
"",,,,,,,
10,7370,8155,8939,9724 10508 11293 12077,,12862,13646 14431
2  0,15216,16000,16793,17593 18394 19194 19994,,20795,21595 22395
30,23196,23996,24796,25596 26397 27197 27997,,28798,29598 30398
"",,,,,,,
40,31198,31999,32799,33600 34400 35201 36001,,36802,37602 38403
"",,,,,,,
50,39203,40004,40804,41605 42405 43206 44006,,44807,45608 46408
6  0,47209,48009,48810,49610 50411 51211 52012,,52812,53613 54413
70,55214,56014,56815,57615 58416 59216 60017,,60817,61618 62418
80,63219,64019,64820,65620 66421 67221 68022,,68822,69623 70423
90,71224,72024,72825,73625 74426 75226 76027,,76827,77628 78428
100,79229,80029,80830,81630 82431 83231 84032,,84832,85633 86433
110,87234,88034,88835,89635 90436 91236 92037,,92837,93638 94438
120,95239,96039,96840,97640 98441 99241 100042,,100842,101643 102443
130,103244,104045,104845,105646 106446 107247 108047,,108848,109648 110449
140,111249,112050,112850,113651 114451 115252 116052,,116853,117653 118454
150,119254,120055,120855,121656 122456 123257 124057,,124858,125658 126459
160,127259,128060,128860,129661 130461 131262 132062,,132863,133663 134464
170,135264,136065,136865,137666 138466 139267 140067,,140868,141668 142469
180,143269,144070,144870,145671 146471 147272 148072,,148873,149673 150474
190,151274,152075,152875,153676 154476 155277 156077,,156878,157678 158479
200,159279,160080,160880,161681 162482 163282 164083,,164883,165684 166484
210,167285,168085,168886,169686 170487 171287 172088,,172888,173689 174489
220,175290,176090,176891,177691 178492 179292 180093,,180893,181694 182494
230,183295,184095,184896,185696 186497 187297 188098,,188898,189699 190499
240,191300,192100,192901,193701 194502 195302 196103,,196903,197704 198504
250,199305,200105,200906,201706 202507 203307 204108,,204908,205709 206509
260,207310,208110,208911,209711 210512 211312 212113,,212913,213714 214514
270,215315,216115,216916,217716 218517 219317 220118,,220919,221719 222520
280,223320,224121,224921,225722 226522 227323 228123,,228924,229724 230525
290,231325,232126,232926,233727 234527 235328 236128,,236929,237729 238530
300,239330,240131,240931,241732 242532 243333 244133,,244934,245734 246535
310,247335,248136,248936,249737 250537 251338 252138,,252939,253739 254540
320,255340,256141,256941,257742 258542 259343 260143,,260944,261744 262545
330,263345,264146,264946,265747 266547 267348 268148,,268949,269749 270550
